date,province,cases,count
2020/1/25,青海,total_confirmed,1
2020/1/25,澳门,total_confirmed,5
2020/1/25,西藏,total_confirmed,0
2020/1/25,湖北,total_recoveries,42
2020/1/25,广东,total_recoveries,2
2020/1/25,河南,total_recoveries,0
2020/1/25,浙江,total_recoveries,1
2020/1/25,湖南,total_recoveries,0
2020/1/25,安徽,total_recoveries,0
2020/1/25,江西,total_recoveries,0
2020/1/25,江苏,total_recoveries,1
2020/1/25,重庆,total_recoveries,0
2020/1/25,山东,total_recoveries,0
2020/1/25,四川,total_recoveries,0
2020/1/25,黑龙江,total_recoveries,0
2020/1/25,北京,total_recoveries,2
2020/1/25,上海,total_recoveries,1
2020/1/25,福建,total_recoveries,0
2020/1/25,河北,total_recoveries,0
2020/1/25,陕西,total_recoveries,0
2020/1/25,广西,total_recoveries,0
2020/1/25,云南,total_recoveries,0
2020/1/25,海南,total_recoveries,0
2020/1/25,贵州,total_recoveries,0
2020/1/25,山西,total_recoveries,0
2020/1/25,辽宁,total_recoveries,0
2020/1/25,天津,total_recoveries,0
2020/1/25,甘肃,total_recoveries,0
2020/1/25,吉林,total_recoveries,0
2020/1/25,内蒙古,total_recoveries,0
2020/1/25,新疆,total_recoveries,0
2020/1/25,宁夏,total_recoveries,0
2020/1/25,香港,total_recoveries,0
2020/1/25,台湾,total_recoveries,0
2020/1/25,青海,total_recoveries,0
2020/1/25,澳门,total_recoveries,0
2020/1/25,西藏,total_recoveries,0
2020/1/25,湖北,total_deaths,52
2020/1/25,广东,total_deaths,0
2020/1/25,河南,total_deaths,1
2020/1/25,浙江,total_deaths,0
2020/1/25,湖南,total_deaths,0
2020/1/25,安徽,total_deaths,0
2020/1/25,江西,total_deaths,0
2020/1/25,江苏,total_deaths,0
2020/1/25,重庆,total_deaths,0
2020/1/25,山东,total_deaths,0
2020/1/25,四川,total_deaths,0
2020/1/25,黑龙江,total_deaths,1
2020/1/25,北京,total_deaths,0
2020/1/25,上海,total_deaths,1
2020/1/25,福建,total_deaths,0
2020/1/25,河北,total_deaths,1
2020/1/25,陕西,total_deaths,0
2020/1/25,广西,total_deaths,0
2020/1/25,云南,total_deaths,0
2020/1/25,海南,total_deaths,0
2020/1/25,贵州,total_deaths,0
2020/1/25,山西,total_deaths,0
2020/1/25,辽宁,total_deaths,0
2020/1/25,天津,total_deaths,0
2020/1/25,甘肃,total_deaths,0
2020/1/25,吉林,total_deaths,0
2020/1/25,内蒙古,total_deaths,0
2020/1/25,新疆,total_deaths,0
2020/1/25,宁夏,total_deaths,0
2020/1/25,香港,total_deaths,0
2020/1/25,台湾,total_deaths,0
2020/1/25,青海,total_deaths,0
2020/1/25,澳门,total_deaths,0
2020/1/25,西藏,total_deaths,0
2020/1/26,湖北,total_confirmed,1423
2020/1/26,广东,total_confirmed,151
2020/1/26,河南,total_confirmed,128
2020/1/26,浙江,total_confirmed,128
2020/1/26,湖南,total_confirmed,100
2020/1/26,安徽,total_confirmed,70
2020/1/26,江西,total_confirmed,48
2020/1/26,江苏,total_confirmed,47
2020/1/26,重庆,total_confirmed,110
2020/1/26,山东,total_confirmed,75
2020/1/26,四川,total_confirmed,69
2020/1/26,黑龙江,total_confirmed,21
2020/1/26,北京,total_confirmed,72
2020/1/26,上海,total_confirmed,53
2020/1/26,福建,total_confirmed,56
2020/1/26,河北,total_confirmed,18
2020/1/26,陕西,total_confirmed,35
2020/1/26,广西,total_confirmed,46
2020/1/26,云南,total_confirmed,26
2020/1/26,海南,total_confirmed,33
2020/1/26,贵州,total_confirmed,7
2020/1/26,山西,total_confirmed,13
2020/1/26,辽宁,total_confirmed,27
2020/1/26,天津,total_confirmed,22
2020/1/26,甘肃,total_confirmed,14
2020/1/26,吉林,total_confirmed,6
2020/1/26,内蒙古,total_confirmed,11
2020/1/26,新疆,total_confirmed,5
2020/1/26,宁夏,total_confirmed,7
2020/1/26,香港,total_confirmed,8
2020/1/26,台湾,total_confirmed,5
2020/1/26,青海,total_confirmed,4
2020/1/26,澳门,total_confirmed,6
2020/1/26,西藏,total_confirmed,0
2020/1/26,湖北,total_recoveries,45
2020/1/26,广东,total_recoveries,3
2020/1/26,河南,total_recoveries,0
2020/1/26,浙江,total_recoveries,1
2020/1/26,湖南,total_recoveries,0
2020/1/26,安徽,total_recoveries,0
2020/1/26,江西,total_recoveries,1
2020/1/26,江苏,total_recoveries,1
2020/1/26,重庆,total_recoveries,0
2020/1/26,山东,total_recoveries,0
